flight_id,flight_no,actual_departure,actual_arrival,aircraft_code,departure_airport,arrival_airport,fare_conditions,range,count_seats,sum_amount,travel_time
68509,PG0295,2016-12-06T13:26:00Z,2016-12-06T13:51:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68510,PG0295,,,SU9,OVB,NOZ,,3000,97,,
68511,PG0296,2016-12-13T10:21:00Z,2016-12-13T10:46:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68511,PG0296,2016-12-13T10:21:00Z,2016-12-13T10:46:00Z,SU9,OVB,NOZ,Economy,3000,7954,24007500.00,25.0
68512,PG0295,2016-11-06T13:22:00Z,2016-11-06T13:47:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68513,PG0295,2017-07-19T13:23:00Z,2017-07-19T13:48:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68514,PG0295,2017-03-26T13:22:00Z,2017-03-26T13:47:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68515,PG0296,2016-11-06T10:19:00Z,2016-11-06T10:44:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68515,PG0296,2016-11-06T10:19:00Z,2016-11-06T10:44:00Z,SU9,OVB,NOZ,Economy,3000,7275,21970500.00,25.0
68516,PG0295,2017-04-21T13:23:00Z,2017-04-21T13:48:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68517,PG0296,2017-04-21T10:20:00Z,2017-04-21T10:45:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68517,PG0296,2017-04-21T10:20:00Z,2017-04-21T10:45:00Z,SU9,OVB,NOZ,Economy,3000,7469,22552500.00,25.0
68518,PG0296,,,SU9,OVB,NOZ,Business,3000,1164,10592400.00,
68518,PG0296,,,SU9,OVB,NOZ,Economy,3000,7857,23716500.00,
68519,PG0296,2016-09-11T10:16:00Z,2016-09-11T10:41:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68519,PG0296,2016-09-11T10:16:00Z,2016-09-11T10:41:00Z,SU9,OVB,NOZ,Economy,3000,8245,24880500.00,25.0
68520,PG0295,2016-09-26T13:22:00Z,2016-09-26T13:47:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68521,PG0295,2016-09-11T13:21:00Z,2016-09-11T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68522,PG0295,2017-01-22T13:22:00Z,2017-01-22T13:47:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68523,PG0296,2017-05-17T10:16:00Z,2017-05-17T10:41:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68523,PG0296,2017-05-17T10:16:00Z,2017-05-17T10:41:00Z,SU9,OVB,NOZ,Economy,3000,8051,24269400.00,25.0
68524,PG0296,2017-07-31T10:18:00Z,2017-07-31T10:43:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68524,PG0296,2017-07-31T10:18:00Z,2017-07-31T10:43:00Z,SU9,OVB,NOZ,Economy,3000,8051,24298500.00,25.0
68525,PG0295,2017-07-31T13:22:00Z,2017-07-31T13:47:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68526,PG0296,2017-07-19T10:18:00Z,2017-07-19T10:43:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68526,PG0296,2017-07-19T10:18:00Z,2017-07-19T10:43:00Z,SU9,OVB,NOZ,Economy,3000,7760,23425500.00,25.0
